LayoutData\FileInfo\tex1_24x80_e022f5c0f044e12f_2.png,MarioGalaxy\a1b74a8990deb9b1.png
LayoutData\FileInfo\tex1_32x32_8b988fe5f116f637_0.png,MarioGalaxy\fe4309d18197cab0.png
LayoutData\FileNumber\tex1_32x32_6a76817fa220d0ba_0.png,MarioGalaxy\a8658bfeeb55f04a.png
LayoutData\FileSelect\tex1_32x32_936371faab905236_0.png,MarioGalaxy\1475002c4145bba5.png
LayoutData\FileSelect\tex1_32x64_144697b2275e09f1_5.png,ondemand_texture_replace\MarioGalaxy\15042810094577234925.png
LayoutData\FlyMeter\tex1_40x40_273b84a0096bdafe_5.png,MarioGalaxy\d4c5d3e6f37a08dc.png
LayoutData\GalaxyDetail\tex1_24x24_9bdcd5721c699187_0.png,MarioGalaxy_Sub\bd1fa9d61d7b7a0f.png
LayoutData\GalaxyDetail\tex1_8x8_fa9101d7e7efa401_0.png,MarioGalaxy_Sub\f7590c1a29895402.png
LayoutData\GalaxyNamePlate\tex1_16x16_02fb8c84965d0a9b_0.png,MarioGalaxy_Sub\391c6cb3c9fbf19d.png
LayoutData\GalaxyNamePlate\tex1_16x16_8739ab9211e39d19_0.png,MarioGalaxy_Sub\be2a6212e22b22c7.png
LayoutData\GalaxyNamePlate\tex1_8x16_dc3adafb6765a8e5_0.png,MarioGalaxy_Sub\868a9970b3315706.png
LayoutData\GalaxySelect\tex1_8x8_2e54fae2959dbb84_1.png,MarioGalaxy_Sub\a1ef499467ceb84d.png
LayoutData\HitPointMeter\tex1_32x32_64a7777c63081f08_0.png,MarioGalaxy\b138ea270c0a11fd.png
LayoutData\HitPointMeter\tex1_40x40_a8326389415fece7_0.png,MarioGalaxy\b9b74e0392614096.png
LayoutData\HitPointMeter\tex1_88x88_683c22dbbcd38931_5.png,MarioGalaxy\d517f345998c1c33.png
LayoutData\Icon\tex1_108x62_7895776249573582_5.png,ondemand_texture_replace\MarioGalaxy\682837609527382457.png
LayoutData\Icon\tex1_128x128_4a9fffa2f4b75e0d_1.png,ondemand_texture_replace\MarioGalaxy\18259534349222305002.png
LayoutData\Icon\tex1_12x8_25dc5def985df7a1_1.png,ondemand_texture_replace\MarioGalaxy\6093088928013999561.png
LayoutData\Icon\tex1_32x32_957df56ee95801a7_2.png,ondemand_texture_replace\MarioGalaxy\10748973271352004502.png
LayoutData\Icon\tex1_64x64_1a9422cb60542e67_0.png,ondemand_texture_replace\MarioGalaxy\12313530793811020001.png
LayoutData\IconAButton\tex1_16x8_9b10640e7e930a46_0.png,MarioGalaxy\c9b14f9f13d8a759.png
LayoutData\IconAButton\tex1_40x40_9a47da88341f0c3e_2.png,MarioGalaxy\5af846acf8cc3494.png
LayoutData\IconAButton\tex1_48x48_13bce5749bdf8d96_2.png,MarioGalaxy\6bdf6a692c28fc32.png
LayoutData\IconComet\tex1_48x48_2044e36db3163387_2.png,MarioGalaxy_Sub\bbaeb86fd326a7dd.png
LayoutData\IconComet\tex1_56x32_5524b97396d5cb66_2.png,MarioGalaxy_Sub\a78dce74e5d711d2.png
LayoutData\IconMario\tex1_40x40_5b830eb87b0488cc_5.png,MarioGalaxy_Sub\4c33dde8bf18bac1.png
LayoutData\IconMario\tex1_40x40_f23b20ca5f1326d7_5.png,MarioGalaxy_Sub\48ab5d8a6b1cc9ea.png
LayoutData\LuigiLetter\tex1_128x128_91a988f04a1a4aac_0.png,ondemand_texture_replace\MarioGalaxy\3604870447190800554.png
LayoutData\LuigiLetter\tex1_48x48_7dfa47b09cadbe4b_5.png,ondemand_texture_replace\MarioGalaxy\237682430078882856.png
LayoutData\LuigiLetter\tex1_4x32_14b4390a1b52a053_0.png,ondemand_texture_replace\MarioGalaxy\17384373115168052845.png
LayoutData\MapButton\tex1_48x48_15928235bdf72d83_2.png,MarioGalaxy_Sub\a96565013fc8f124.png
LayoutData\MapDomeIcon\tex1_64x64_0c5239dddc1330fc_2.png,MarioGalaxy_Sub\163f206cc309ea8e.png
LayoutData\MapDomeIcon\tex1_88x88_278737c4adca36dd_5.png,MarioGalaxy_Sub\d4491769ca718a2d.png
LayoutData\MapDomeIcon\tex1_88x88_6a37755231ca80b5_5.png,MarioGalaxy_Sub\d20ac85abd2004b7.png
LayoutData\MapDomeIcon\tex1_88x88_87d5f80842f292f5_5.png,MarioGalaxy_Sub\80da373e7f391c90.png
LayoutData\MapDomeIcon\tex1_88x88_ae9ca0dc657c63b2_5.png,MarioGalaxy_Sub\738121b5a0d7e2aa.png
LayoutData\MapDomeIcon\tex1_88x88_afe5b4ac205b4515_5.png,MarioGalaxy_Sub\a11672aeb16c27c2.png
LayoutData\MapDomeIcon\tex1_88x88_e64e9b83c74a138b_5.png,MarioGalaxy_Sub\3a8406eed43f8e1c.png
LayoutData\MapGalaxyBg\tex1_32x32_d32b8a368379598c_0.png,MarioGalaxy\801e5fcd48665e8d.png
LayoutData\MapGalaxyBg\tex1_64x64_51ea480250ff3254_0.png,ondemand_texture_replace\MarioGalaxy\13088548538931013034.png
LayoutData\MapGalaxyBg\tex1_64x64_c5feb85020bffcbc_0.png,ondemand_texture_replace\MarioGalaxy\7759526521612007854.png
LayoutData\MapGalaxyBg\tex1_64x64_d221ac7743fa7d6f_1.png,ondemand_texture_replace\MarioGalaxy\1900948616051556105.png
LayoutData\MapGalaxyIcon\tex1_16x40_bd4a1be5549e060e_1.png,MarioGalaxy_Sub\9c1365c8220f44a0.png
LayoutData\MapGalaxyIcon\tex1_64x64_b79d194e4642f3b2_1.png,MarioGalaxy_Sub\78a9c48303345f97.png
LayoutData\MapGrandGalaxy\tex1_128x128_ed7485501f87ef89_0.png,MarioGalaxy_Sub\869f54b56b78baf4.png
LayoutData\MapGrandGalaxy\tex1_400x320_26f7a442f269e8d9_2.png,MarioGalaxy_Sub\3b758761efa04505.png
LayoutData\MapGrandGalaxy\tex1_64x64_73b26ca57ebb2647_1.png,MarioGalaxy_Sub\09715774277f76dd.png
LayoutData\MapTicoIcon\tex1_8x32_01d71512644193ac_0.png,MarioGalaxy_Sub\5eca89d50354fb51.png
LayoutData\MapTicoIcon\tex1_96x56_2ae0227f3f65dfd5_2.png,MarioGalaxy_Sub\0c6fb0f26be38a5e.png
LayoutData\MapTitle\tex1_64x32_8b68c78c933bd4af_0.png,MarioGalaxy_Sub\8cf0a7dc0eed6c99.png
LayoutData\MiiIcon\tex1_128x128_05f82df3887660a4_5.png,ondemand_texture_replace\MarioGalaxy\10027250846248163967.png
LayoutData\MiiIcon\tex1_128x128_155c38e47a383295_5.png,ondemand_texture_replace\MarioGalaxy\9017020411711282969.png
LayoutData\MiiIcon\tex1_128x128_7b6155489cbc8873_5.png,ondemand_texture_replace\MarioGalaxy\4763268274053265638.png
LayoutData\MiiIcon\tex1_128x128_b6177a6faf0680e7_5.png,ondemand_texture_replace\MarioGalaxy\6979994866135881629.png
LayoutData\MiiIcon\tex1_128x128_b6f447c876db71a2_5.png,ondemand_texture_replace\MarioGalaxy\8990521443909415484.png
LayoutData\MiiSelect\tex1_40x40_329fb7a9b08a57da_0.png,ondemand_texture_replace\MarioGalaxy\16757591064383088417.png
LayoutData\MiiSelect\tex1_40x72_bdfda3ddc79297c0_2.png,ondemand_texture_replace\MarioGalaxy\15521815873694333739.png
LayoutData\P2Manual\tex1_24x24_500de73e8476e4c2_2.png,MarioGalaxy\ffb3af79af450efe.png
LayoutData\P2Manual\tex1_24x40_222453a9c1384796_0.png,MarioGalaxy\2a0f4554a332bb63.png
LayoutData\P2Manual\tex1_512x160_66ef39fef11aa79e_14.png,MarioGalaxy\6f45d9bf8f022293.png
LayoutData\P2Manual\tex1_512x160_a8f75dd1a2b952c4_14.png,MarioGalaxy\d36081f649579e02.png
LayoutData\P2Manual\tex1_512x160_d1642d941cc14292_14.png,MarioGalaxy\bba019a23c6b8461.png
LayoutData\P2Manual\tex1_512x160_eeaa1403dafaf429_14.png,MarioGalaxy\cc223a79c8c85f89.png
LayoutData\P2Manual\tex1_512x160_f6878b1bdc07860c_14.png,MarioGalaxy\652c631e9f849afd.png
LayoutData\PauseMenu\tex1_32x32_09884ef0a0635902_5.png,MarioGalaxy_Sub\c2851af2d8adda67.png
LayoutData\PauseMenu\tex1_64x64_0ef1e24134622152_5.png,MarioGalaxy_Sub\c352fd23018e0422.png
LayoutData\PeachLetter\tex1_32x64_02fffdf721afb242_5.png,ondemand_texture_replace\MarioGalaxy\15870328375562256854.png
LayoutData\PictureBook\tex1_128x8_08a323854f025b05_1.png,ondemand_texture_replace\MarioGalaxy\9229127629281476311.png
LayoutData\PictureBook\tex1_16x8_ed5f974828a6458a_0.png,ondemand_texture_replace\MarioGalaxy\11586581193502697453.png
LayoutData\PrologueDemo\tex1_608x224_0d4d07a367872035_14.png,ondemand_texture_replace\MarioGalaxy\3340091627050802332.png
LayoutData\PrologueDemo\tex1_608x224_31e3522a9e35eeb4_14.png,ondemand_texture_replace\MarioGalaxy\11061665023358696392.png
LayoutData\PrologueDemo\tex1_608x224_4e31f162e47def5e_14.png,ondemand_texture_replace\MarioGalaxy\16357879672541678826.png
LayoutData\PrologueDemo\tex1_608x224_86ae44637838fef6_14.png,ondemand_texture_replace\MarioGalaxy\3803171170979495599.png
LayoutData\PrologueDemo\tex1_608x224_da5192ed13391c8f_14.png,ondemand_texture_replace\MarioGalaxy\9887226656997121937.png
LayoutData\PrologueStarSteward\tex1_32x32_2b37048d294dbafd_0.png,MarioGalaxy_Sub\e8dc192be4266d0a.png
LayoutData\PrologueStarSteward\tex1_32x32_da395914d921d092_0.png,MarioGalaxy\7aa8b843aca0204c.png
LayoutData\PrologueStarSteward\tex1_416x184_0849b1a823879b8d_14.png,ondemand_texture_replace\MarioGalaxy\10949845939258223414.png
LayoutData\PrologueStarSteward\tex1_416x184_170f9279ca148f05_14.png,ondemand_texture_replace\MarioGalaxy\16580987601695573303.png
LayoutData\PrologueStarSteward\tex1_416x184_e81143f944e9483a_14.png,ondemand_texture_replace\MarioGalaxy\7114160686994070470.png
LayoutData\PrologueStarSteward\tex1_416x184_f649ca0e4f9f0f61_14.png,ondemand_texture_replace\MarioGalaxy\2658729744178333101.png
LayoutData\PurpleCoinCounter\tex1_32x40_541a58e3e9976dcd_5.png,MarioGalaxy\690ced30888b4f9e.png
LayoutData\Race\tex1_24x24_b6786582c81f42d1_1.png,ondemand_texture_replace\MarioGalaxy\15707297424129220709.png
LayoutData\ResultWindow\tex1_16x24_f942e1c73b54ef35_0.png,MarioGalaxy_Sub\b6e559ad6d1ec68c.png
LayoutData\ResultWindow\tex1_24x24_296b23829736964e_0.png,MarioGalaxy_Sub\05c5b2d31e868e59.png
LayoutData\ScenarioSelect\tex1_128x96_9071ea4604058170_2.png,MarioGalaxy_Sub\6d2873a3e2a2fe0e.png
LayoutData\ScenarioSelect\tex1_40x40_38fbc9f1b52d564d_2.png,MarioGalaxy_Sub\4581b0c52668374d.png
LayoutData\ScenarioSelect\tex1_56x56_77953fee4ea67d34_0.png,MarioGalaxy_Sub\139404c06846eba1.png
LayoutData\SelectButton\tex1_32x32_3fe1540db6aab9e8_5.png,MarioGalaxy\283a007acbfc58a8.png
LayoutData\Sight\tex1_32x32_fa5fd578a014faa1_0.png,ondemand_texture_replace\MarioGalaxy\16282502987042123236.png
LayoutData\SignboardBalloon\tex1_16x32_5c4ed0cfff94dfcb_0.png,ondemand_texture_replace\MarioGalaxy\14022357487078492024.png
LayoutData\SignboardBalloon\tex1_16x32_7540a749c9a98d62_0.png,ondemand_texture_replace\MarioGalaxy\12770180871607463883.png
LayoutData\SignboardBalloon\tex1_32x32_49e7e96427c71c74_2.png,ondemand_texture_replace\MarioGalaxy\5861385046636711951.png
LayoutData\StaffRollPicture\tex1_128x64_48ef3d57d3618b2c_0.png,ondemand_texture_replace\MarioGalaxy\5503170066749465511.png
LayoutData\StaffRollTitle\tex1_16x16_be0425074ae35e53_0.png,ondemand_texture_replace\MarioGalaxy\13194261193840374561.png
LayoutData\StaffRollTitle\tex1_168x104_2ad2384c93e3336f_1.png,ondemand_texture_replace\MarioGalaxy\12786656139593225440.png
LayoutData\StaffRollTitle\tex1_16x16_92ab99fcb22e2211_0.png,ondemand_texture_replace\MarioGalaxy\5688070463621790454.png
LayoutData\StaffRollTitle\tex1_16x16_f46db65b70e16958_0.png,ondemand_texture_replace\MarioGalaxy\12860887605344737266.png
LayoutData\StaffRollTitle\tex1_192x24_7ef5780ceba17e79_0.png,ondemand_texture_replace\MarioGalaxy\869422031942392124.png
LayoutData\StaffRollTitle\tex1_255x152_c840acc9b33d2a39_5.png,ondemand_texture_replace\MarioGalaxy\6805511690815013184.png
LayoutData\StaffRollTitle\tex1_472x40_6ce7f7b3be3be581_0.png,ondemand_texture_replace\MarioGalaxy\17047519251396284250.png
LayoutData\StarCounter\tex1_32x40_ed62aa4ebd0a4a57_5.png,MarioGalaxy\52a95d57332bb5b2.png
LayoutData\StarPieceCounter\tex1_32x40_1556a4535d1debb6_5.png,MarioGalaxy\fe954276f010e81d.png
LayoutData\StarPieceCounter\tex1_32x40_5ee625aafcc25054_5.png,MarioGalaxy\997efe24f8244da0.png
LayoutData\StarPieceTargetMeter\tex1_32x32_8b4ba8d3d64e50c9_0.png,MarioGalaxy_Sub\3e248df91c8ff717.png
LayoutData\SuddenDeathMeter\tex1_88x88_dca921cbcbb73d96_5.png,MarioGalaxy\720974e441198053.png
LayoutData\TalkBalloonEvent\tex1_24x24_76ad619c564948b2_0.png,MarioGalaxy\3d080ca43bfbe7c4.png
LayoutData\TalkBalloonEvent\tex1_8x24_0e771512c4b967e3_0.png,MarioGalaxy\51bbb47f9a55503f.png
LayoutData\TalkBalloonLetter\tex1_16x16_1828b033f9b5035e_0.png,MarioGalaxy\93e82aa368f924d2.png
LayoutData\TalkBalloonLetter\tex1_40x40_0126d8fc2cccd81b_0.png,MarioGalaxy\f435091feb503f79.png
LayoutData\TalkBalloonLetter\tex1_40x40_ed969c33336507a6_0.png,MarioGalaxy\6c0cb952a68d3e21.png
LayoutData\TalkBalloonStretch\tex1_8x16_7c99ffe584a641e1_0.png,MarioGalaxy\67f4e2ffe08abfc9.png
LayoutData\Telescope\tex1_128x128_fcd3916726260414_1.png,ondemand_texture_replace\MarioGalaxy\11420223790289369552.png
LayoutData\TitleLogo\tex1_168x24_3b556a9eff0326ac_2.png,MarioGalaxy\7cb3fb69839cc84e.png
LayoutData\TitleLogo\tex1_176x96_7f146063b6812511_1.png,MarioGalaxy\3f251a729e5a7dff.png
LayoutData\TitleLogo\tex1_24x16_67e3a53fbf022ecc_0.png,MarioGalaxy\32d317e7c77c3520.png
LayoutData\TitleLogo\tex1_24x16_7c7269e59b341520_0.png,MarioGalaxy\08728ae6546d53a8.png
LayoutData\TitleLogo\tex1_288x176_4089a55a2d1e9102_1.png,MarioGalaxy\e194fba958b4cb75.png
LayoutData\TitleLogo\tex1_328x32_63451a21f0aad4fe_0.png,MarioGalaxy\293c25daa2251074.png
LayoutData\TitleLogo\tex1_440x256_66579db7433db2a9_5.png,MarioGalaxy\7593e4625a3e5ce0.png
LayoutData\TitleLogo\tex1_440x96_05743ba9a360456c_0.png,MarioGalaxy\34c04555a6a55a39.png
LayoutData\TitleLogo\tex1_512x96_e055ea157a2ad340_4.png,MarioGalaxy\68d1e34eb3ea8a0d.png
LayoutData\WipeKoopa\tex1_128x204_e7f0e1bc364c511b_0.png,MarioGalaxy\524e38f9c1ae4c37.png
LayoutData\WipeRing\tex1_128x128_c0542cdf294a1734_0.png,MarioGalaxy\10f3cd697a4ddc9d.png
LayoutData\YellowChipCounter\tex1_32x48_856ccff3bdb7c748_5.png,MarioGalaxy\5e4c0e7540c713b3.png

path_in_A,path_in_B
ObjectData\AirBubble\tex1_64x64_15a71a8a90bfa551_1.png,ondemand_texture_replace\MarioGalaxy\7333184957875630334.png
ObjectData\AirBubbleGenerator\tex1_128x128_ae1668568aa6279d_14.png,ondemand_texture_replace\MarioGalaxy\14531260069954260824.png
ObjectData\ArrowBoard\tex1_128x128_1abb9adecc9cc234_14.png,ondemand_texture_replace\MarioGalaxy\5659670978749445873.png
ObjectData\ArrowSignBoard\tex1_128x128_6a9c9ca5c1c9d463_14.png,ondemand_texture_replace\MarioGalaxy\84606402056137873.png
ObjectData\AssemblyBlockPartsA\tex1_64x32_fbc204dcf0fed1ee_14.png,ondemand_texture_replace\MarioGalaxy\14997776296899056418.png
ObjectData\AsteroidA\tex1_256x256_73dbe5520b368404_14.png,ondemand_texture_replace\MarioGalaxy\16568932090859321711.png
ObjectData\AsteroidBlockPlanet\tex1_128x128_82e8b6411ce39b5a_14.png,ondemand_texture_replace\MarioGalaxy\3215174091618562924.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0.png,MarioGalaxy_Sub\38807cb5abf8fbb7.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0_mip1.png,MarioGalaxy_Sub\38807cb5abf8fbb7_lod1.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0_mip2.png,MarioGalaxy_Sub\38807cb5abf8fbb7_lod2.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0_mip3.png,MarioGalaxy_Sub\38807cb5abf8fbb7_lod3.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_8b7ada8e7eedf7b1_14.png,MarioGalaxy_Sub\256f353872ed2c9b.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_8b7ada8e7eedf7b1_14_mip1.png,MarioGalaxy_Sub\256f353872ed2c9b_lod1.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_8b7ada8e7eedf7b1_14_mip2.png,MarioGalaxy_Sub\256f353872ed2c9b_lod2.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_8b7ada8e7eedf7b1_14_mip3.png,MarioGalaxy_Sub\256f353872ed2c9b_lod3.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_8b7ada8e7eedf7b1_14_mip4.png,MarioGalaxy_Sub\256f353872ed2c9b_lod4.png
ObjectData\AsteroidBlockRotateStepA\tex1_64x128_088e95fff1972ce7_14.png,ondemand_texture_replace\MarioGalaxy\2800132664791301204.png
ObjectData\AsteroidBlockRotateStepA\tex1_64x64_e1c64b6ae67282d4_14.png,ondemand_texture_replace\MarioGalaxy\18238674393958984319.png
ObjectData\AsteroidD\tex1_128x128_2c99313027c5ed66_14.png,ondemand_texture_replace\MarioGalaxy\1386908963018609698.png
ObjectData\AsteroidD\tex1_128x128_394f4ae3659b4ab2_14.png,ondemand_texture_replace\MarioGalaxy\10034761539894529384.png
ObjectData\AstroBaseA\tex1_128x128_08a7a3eb2381fa35_14.png,MarioGalaxy_Sub\70a7fec51ee16216.png
ObjectData\AstroBaseA\tex1_128x128_11fcf6b1791a1b13_14.png,ondemand_texture_replace\MarioGalaxy\18128006529645432106.png
ObjectData\AstroBaseA\tex1_128x128_9e5384a43e8c66e4_14.png,MarioGalaxy\8bc03334f1a477d7.png
ObjectData\AstroBaseA\tex1_128x128_cc1560f688092f84_14.png,MarioGalaxy_Sub\ac870c4f170e1b09.png
ObjectData\AstroBaseA\tex1_128x128_m_9b851b7986d9500e_14.png,MarioGalaxy_Sub\868f88ae0e4196d4.png
ObjectData\AstroBaseA\tex1_128x128_m_9b851b7986d9500e_14_mip1.png,MarioGalaxy_Sub\868f88ae0e4196d4_lod1.png
ObjectData\AstroBaseA\tex1_128x128_m_9b851b7986d9500e_14_mip2.png,MarioGalaxy_Sub\868f88ae0e4196d4_lod2.png
ObjectData\AstroBaseA\tex1_128x128_m_9b851b7986d9500e_14_mip3.png,MarioGalaxy_Sub\868f88ae0e4196d4_lod3.png
ObjectData\AstroBaseA\tex1_128x128_m_e44d985e3b5f7f06_14.png,MarioGalaxy_Sub\72b69158b4aa79aa.png
ObjectData\AstroBaseA\tex1_128x128_m_e44d985e3b5f7f06_14_mip1.png,MarioGalaxy_Sub\72b69158b4aa79aa_lod1.png
ObjectData\AstroBaseA\tex1_128x128_m_e44d985e3b5f7f06_14_mip2.png,MarioGalaxy_Sub\72b69158b4aa79aa_lod2.png
ObjectData\AstroBaseA\tex1_128x128_m_e44d985e3b5f7f06_14_mip3.png,MarioGalaxy_Sub\72b69158b4aa79aa_lod3.png
ObjectData\AstroBaseA\tex1_128x64_d6d2abc889f726a9_14.png,MarioGalaxy_Sub\346b380a628995fb.png
ObjectData\AstroBaseA\tex1_32x32_992be615b63e51b9_14.png,MarioGalaxy_Sub\6dbe0468b35fa36e.png
ObjectData\AstroBaseA\tex1_64x128_52b192a1a3493cce_14.png,MarioGalaxy_Sub\31bbeb9d68002f08.png
ObjectData\AstroBaseA\tex1_64x64_5e2bb305063b1022_14.png,MarioGalaxy_Sub\9cad45d6abdcec04.png
ObjectData\AstroBaseA\tex1_64x64_608c559ccd922d72_14.png,ondemand_texture_replace\MarioGalaxy\16700422161523000738.png
ObjectData\AstroBaseA\tex1_64x64_6c5cd7070d93399d_14.png,MarioGalaxy_Sub\459beb017a0a7fe0.png
ObjectData\AstroBaseA\tex1_64x64_9b6ca807ccdb1160_14.png,ondemand_texture_replace\MarioGalaxy\1720803505820971455.png
ObjectData\AstroBaseA\tex1_64x64_9eb1fdcfc4699c98_14.png,MarioGalaxy_Sub\6adf443840ee29a2.png
ObjectData\AstroBaseA\tex1_64x64_c5198c7f1b417257_14.png,ondemand_texture_replace\MarioGalaxy\903354162505592820.png
ObjectData\AstroBaseA\tex1_64x64_eaee6deb593fe8fc_14.png,MarioGalaxy_Sub\333c22ec3c445574.png
ObjectData\AstroBaseB\tex1_128x128_1b82fbeeb62f3225_14.png,ondemand_texture_replace\MarioGalaxy\2688570806803374263.png
ObjectData\AstroBaseB\tex1_128x128_3215aa0337f28926_14.png,ondemand_texture_replace\MarioGalaxy\4630148661522346906.png
ObjectData\AstroBaseB\tex1_128x128_4e789ab60d8b9d84_14.png,MarioGalaxy_Sub\7f1ccd29e0278685.png
ObjectData\AstroBaseB\tex1_128x128_501fa41c30eb0a23_14.png,ondemand_texture_replace\MarioGalaxy\70940449627647119.png
ObjectData\AstroBaseB\tex1_128x128_97fa93aa28d34e2c_14.png,ondemand_texture_replace\MarioGalaxy\13630452880675680904.png
ObjectData\AstroBaseB\tex1_128x128_9a3ba572fd784627_14.png,ondemand_texture_replace\MarioGalaxy\1567945770286827358.png
ObjectData\AstroBaseB\tex1_128x128_e2d969f740e9bedb_14.png,MarioGalaxy_Sub\da6e0a05defae98e.png
