path_in_A,path_in_B
LayoutData\FileInfo\tex1_32x32_8b988fe5f116f637_0.png,MarioGalaxy\fe4309d18197cab0.png
LayoutData\FileInfo\tex1_8x8_becb318378f0d167_0.png,MarioGalaxy_Sub\fbcf76aeb4c5a636.png
LayoutData\FileNumber\tex1_32x32_6a76817fa220d0ba_0.png,MarioGalaxy\a8658bfeeb55f04a.png
LayoutData\FileSelect\tex1_32x64_6b95604f8bb25592_5.png,MarioGalaxy\9a4a350a71fc75ce.png
LayoutData\FlyMeter\tex1_40x40_273b84a0096bdafe_5.png,MarioGalaxy\d4c5d3e6f37a08dc.png
LayoutData\GalaxyInfo\tex1_32x32_5562a145655787f8_0.png,MarioGalaxy_Sub\9d07e2aaf2c32b90.png
LayoutData\GalaxyInfo\tex1_40x64_e4486a7fae00b301_2.png,MarioGalaxy_Sub\c45ec9157872e45c.png
LayoutData\HitPointMeter\tex1_32x32_64a7777c63081f08_0.png,MarioGalaxy\b138ea270c0a11fd.png
LayoutData\HitPointMeter\tex1_40x40_a8326389415fece7_0.png,MarioGalaxy\b9b74e0392614096.png
LayoutData\HitPointMeter\tex1_88x88_683c22dbbcd38931_5.png,MarioGalaxy\d517f345998c1c33.png
LayoutData\IconAButton\tex1_16x8_9b10640e7e930a46_0.png,MarioGalaxy\c9b14f9f13d8a759.png
LayoutData\IconAButton\tex1_40x40_9a47da88341f0c3e_2.png,MarioGalaxy\5af846acf8cc3494.png
LayoutData\IconAButton\tex1_48x48_13bce5749bdf8d96_2.png,MarioGalaxy\6bdf6a692c28fc32.png
LayoutData\MapGalaxyReport\tex1_16x16_102ff1642f82c55d_2.png,MarioGalaxy\bd7cfc4208928789.png
LayoutData\MapGalaxyReport\tex1_32x32_ff1c1ec6ef839049_2.png,MarioGalaxy\cf55d3b647624870.png
LayoutData\MapGalaxyState\tex1_24x24_155c1efcfd106bb1_5.png,MarioGalaxy\22ab13775da93001.png
LayoutData\MapGalaxyState\tex1_24x24_2a9961c3e7600725_2.png,MarioGalaxy\87830e64869a7c9e.png
LayoutData\MapGalaxyState\tex1_32x32_03e5feb92eac7ceb_2.png,MarioGalaxy\06068a5902ca7c64.png
LayoutData\MapGalaxyState\tex1_32x32_160225328777c2f3_2.png,MarioGalaxy\4ebf3ebe3d9dd935.png
LayoutData\MapGalaxyState\tex1_32x32_7d3098dd8759b830_2.png,MarioGalaxy\f18b500ef843175c.png
LayoutData\MapGalaxyState\tex1_48x48_3841b6174061fb90_2.png,MarioGalaxy\dbab0c4e65179116.png
LayoutData\MapGalaxyState\tex1_56x48_d3b862126530d192_2.png,MarioGalaxy\16a7f7fdfeec1364.png
LayoutData\MapGalaxyState\tex1_64x64_0fda1b84d9515eae_0.png,MarioGalaxy\e88eec499bd06721.png
LayoutData\MiiIcon\tex1_128x128_08189f5c364aaa77_5.png,MarioGalaxy\cc7cfd176aed6743.png
LayoutData\MiiIcon\tex1_128x128_3be0f883bba8cd7a_5.png,MarioGalaxy\7860b0826b2fa4f6.png
LayoutData\MiiIcon\tex1_128x128_5671d53bddaa1181_5.png,MarioGalaxy\d89eb4872632c1ae.png
LayoutData\MiiIcon\tex1_128x128_6d015b0590c2539c_5.png,MarioGalaxy\80b92ae785fd3957.png
LayoutData\MiiIcon\tex1_128x128_785e8080ce33f152_5.png,MarioGalaxy\996886597f61866c.png
LayoutData\MiiIcon\tex1_128x128_88e5450329051254_5.png,MarioGalaxy\a80272bfb7caa007.png
LayoutData\MiiIcon\tex1_128x128_d7a3f14017e8ce79_5.png,MarioGalaxy\6086822a2f103ad9.png
LayoutData\MiiIcon\tex1_128x128_f7426dd4cd5183b2_5.png,MarioGalaxy\3ddc9e5c146468d2.png
LayoutData\P2Manual\tex1_128x32_b3a9aadb6cbba1bc_0.png,MarioGalaxy\729e8cb26d3ed859.png
LayoutData\P2Manual\tex1_24x24_500de73e8476e4c2_2.png,MarioGalaxy\ffb3af79af450efe.png
LayoutData\P2Manual\tex1_512x128_44f7fe33ff9d5d61_14.png,MarioGalaxy\03adfa0ef5efa88a.png
LayoutData\P2Manual\tex1_512x128_719d828fa6386ad5_14.png,MarioGalaxy\a656ade47a9284af.png
LayoutData\P2Manual\tex1_512x128_924bc9a42db6cd3e_14.png,MarioGalaxy\7a3dbd6a2c9f6745.png
LayoutData\P2Manual\tex1_512x128_ad2e6a4e40bdc061_14.png,MarioGalaxy\afcc02ef9dece75b.png
LayoutData\P2Manual\tex1_512x128_f4f2131e15490231_14.png,MarioGalaxy\0553920e0aeeda8e.png
LayoutData\PeachLetterMini\tex1_16x16_c169bf2c0c0c80d6_0.png,ondemand_texture_replace\MarioGalaxy\515701701748079594.png
LayoutData\PeachLetterMini\tex1_16x8_10152322a8a495ac_0.png,ondemand_texture_replace\MarioGalaxy\1229651700077555395.png
LayoutData\PeachLetterMini\tex1_264x320_d0a8ef9ba43f1a66_5.png,ondemand_texture_replace\MarioGalaxy\16629947282646827994.png
LayoutData\PeachLetterMini\tex1_4x32_8d82c9e135ecd6c6_0.png,ondemand_texture_replace\MarioGalaxy\17384373115168052845.png
LayoutData\PlayerLeft\tex1_40x40_5b830eb87b0488cc_5.png,MarioGalaxy\4c33dde8bf18bac1.png
LayoutData\PlayerLeft\tex1_40x40_f23b20ca5f1326d7_5.png,MarioGalaxy\48ab5d8a6b1cc9ea.png
LayoutData\PointerGuidance\tex1_32x32_d32b8a368379598c_0.png,MarioGalaxy\801e5fcd48665e8d.png
LayoutData\PurpleCoinCounter\tex1_32x40_541a58e3e9976dcd_5.png,MarioGalaxy\690ced30888b4f9e.png
LayoutData\ScenarioSelect\tex1_112x96_ffe203801773feea_2.png,MarioGalaxy_Sub\d8512e74c47341c2.png
LayoutData\ScenarioSelect\tex1_40x40_38fbc9f1b52d564d_2.png,MarioGalaxy_Sub\4581b0c52668374d.png
LayoutData\ScenarioSelect\tex1_56x56_0ecc274a69c4d6e4_5.png,MarioGalaxy_Sub\9ce344b8ea69f08b.png
LayoutData\ScenarioSelect\tex1_56x56_3c4cd1b2881169db_0.png,MarioGalaxy_Sub\2e78638423f744a0.png
LayoutData\ScenarioSelect\tex1_56x56_546d22c21e1498ab_5.png,MarioGalaxy_Sub\a08bddb28fd45cdb.png
LayoutData\ScenarioSelect\tex1_64x64_24d8f0a3b2162107_0.png,MarioGalaxy_Sub\12ecae5081af4b53.png
LayoutData\ScoreCounter\tex1_24x24_b6786582c81f42d1_1.png,MarioGalaxy_Sub\5c9ff22c6ff564d1.png
LayoutData\Sight\tex1_32x32_fa5fd578a014faa1_0.png,ondemand_texture_replace\MarioGalaxy\16282502987042123236.png
LayoutData\StaffRollTitle\tex1_16x16_be0425074ae35e53_0.png,ondemand_texture_replace\MarioGalaxy\13194261193840374561.png
LayoutData\StaffRollTitle\tex1_16x16_f46db65b70e16958_0.png,ondemand_texture_replace\MarioGalaxy\12860887605344737266.png
LayoutData\StaffRollTitle\tex1_296x152_8cfd1806ed2630ff_5.png,ondemand_texture_replace\MarioGalaxy\12229051380657381337.png
LayoutData\StaffRollTitle\tex1_56x56_9299666ce88b7b7a_5.png,ondemand_texture_replace\MarioGalaxy\9318498229318359444.png
LayoutData\StarCounter\tex1_32x40_ed62aa4ebd0a4a57_5.png,MarioGalaxy\52a95d57332bb5b2.png
LayoutData\StarPieceCounter\tex1_32x40_1556a4535d1debb6_5.png,MarioGalaxy\fe954276f010e81d.png
LayoutData\StarPieceCounter\tex1_32x40_5ee625aafcc25054_5.png,MarioGalaxy\997efe24f8244da0.png
LayoutData\StarPieceTargetMeter\tex1_32x32_8b4ba8d3d64e50c9_0.png,MarioGalaxy_Sub\3e248df91c8ff717.png
LayoutData\SuddenDeathMeter\tex1_32x32_2b37048d294dbafd_0.png,MarioGalaxy\1475002c4145bba5.png
LayoutData\SuddenDeathMeter\tex1_88x88_dca921cbcbb73d96_5.png,MarioGalaxy\720974e441198053.png
LayoutData\TalkBalloonEvent\tex1_24x24_76ad619c564948b2_0.png,MarioGalaxy\3d080ca43bfbe7c4.png
LayoutData\TalkBalloonEvent\tex1_32x32_da395914d921d092_0.png,MarioGalaxy\7aa8b843aca0204c.png
LayoutData\TalkBalloonEvent\tex1_8x24_0e771512c4b967e3_0.png,MarioGalaxy\51bbb47f9a55503f.png
LayoutData\TalkBalloonLetter\tex1_16x16_1828b033f9b5035e_0.png,MarioGalaxy\93e82aa368f924d2.png
LayoutData\TalkBalloonLetter\tex1_40x40_0126d8fc2cccd81b_0.png,MarioGalaxy\f435091feb503f79.png
LayoutData\TalkBalloonLetter\tex1_40x40_ed969c33336507a6_0.png,MarioGalaxy\6c0cb952a68d3e21.png
LayoutData\TalkBalloonStretch\tex1_8x16_7c99ffe584a641e1_0.png,MarioGalaxy\67f4e2ffe08abfc9.png
LayoutData\TitleLogo\tex1_24x16_38b79e43b3bf824c_0.png,MarioGalaxy\8c33c12c0b022327.png
LayoutData\TitleLogo\tex1_24x16_9ef350ecbedcda85_0.png,MarioGalaxy\2ddec7f32187136a.png
LayoutData\TitleLogo\tex1_288x32_8016b0b45798039c_0.png,MarioGalaxy\0078c6d2abfeefa0.png
LayoutData\TitleLogo\tex1_440x216_a59d97684d672f64_5.png,MarioGalaxy\d6b85130d692a986.png
LayoutData\TitleLogo\tex1_512x256_5d4c1eb581fc452b_0.png,MarioGalaxy\fc4303aa9fdabcc3.png
LayoutData\TitleLogo\tex1_512x512_2a28d53368a37e35_0.png,MarioGalaxy\582c6c5b3ea605ba.png
LayoutData\TitleLogo\tex1_80x80_5621fd993ee6e445_5.png,MarioGalaxy\fb07947f10da1766.png
LayoutData\WipeKoopa\tex1_128x256_76661accb01e7a7e_0.png,MarioGalaxy\5bfa2721adeb1442.png
LayoutData\WipeRing\tex1_128x128_c0542cdf294a1734_0.png,MarioGalaxy\10f3cd697a4ddc9d.png
LayoutData\YellowChipCounter\tex1_32x48_856ccff3bdb7c748_5.png,MarioGalaxy\5e4c0e7540c713b3.png
LayoutData\YellowChipCounter\tex1_96x96_e0fffbac6caebf08_0.png,MarioGalaxy\51c18830cb9581bd.png
LayoutData\YoshiTargetMark\tex1_64x64_670fe0ddc2e9a7e1_0.png,ondemand_texture_replace\MarioGalaxy\11183104222195577075.png
LayoutData\YoshiTargetMark\tex1_64x64_7bf8f075b220b67f_0.png,ondemand_texture_replace\MarioGalaxy\7398498557199619957.png

ObjectData\Abekobe2DMoveLift\tex1_128x128_cb284adf9f774062_14.png,ondemand_texture_replace\MarioGalaxy\14168126599666820466.png
ObjectData\AbekobeIntroducePlanet\tex1_128x128_700ffa1d8da67443_14.png,ondemand_texture_replace\MarioGalaxy\12825260862971234937.png
ObjectData\AbekobeIntroducePlanet\tex1_128x128_780f213458c7e338_14.png,ondemand_texture_replace\MarioGalaxy\17813256794136042064.png
ObjectData\AbekobeIntroducePlanet\tex1_128x128_ab2781ac1a0c4f14_14.png,ondemand_texture_replace\MarioGalaxy\9372397098726878076.png
ObjectData\AbekobeIntroducePlanet\tex1_128x128_cfdf1e201ba659db_14.png,ondemand_texture_replace\MarioGalaxy\13887579136816147157.png
ObjectData\AirBubble\tex1_64x64_15a71a8a90bfa551_1.png,ondemand_texture_replace\MarioGalaxy\7333184957875630334.png
ObjectData\AirBubbleGenerator\tex1_128x128_ae1668568aa6279d_14.png,ondemand_texture_replace\MarioGalaxy\14531260069954260824.png
ObjectData\AncientCage\tex1_256x128_6cd21ba333f99098_14.png,ondemand_texture_replace\MarioGalaxy\5255779394134164885.png
ObjectData\AquariumPlanetA\tex1_128x128_15da41306f0dae9b_14.png,ondemand_texture_replace\MarioGalaxy\15437074844780168177.png
ObjectData\AquariumPlanetA\tex1_128x128_1e4411f90cd6114d_14.png,ondemand_texture_replace\MarioGalaxy\8112508873376802575.png
ObjectData\AquariumPlanetA\tex1_128x128_28b844054a158e9e_14.png,ondemand_texture_replace\MarioGalaxy\3541445878945132367.png
ObjectData\AquariumPlanetA\tex1_128x128_3d40ae9d20513999_14.png,ondemand_texture_replace\MarioGalaxy\11292048146263238617.png
ObjectData\AquariumPlanetA\tex1_128x128_689808f08fae12ea_1.png,ondemand_texture_replace\MarioGalaxy\15350545907520164812.png
ObjectData\AquariumPlanetA\tex1_128x128_690e4dcee580b2a0_14.png,ondemand_texture_replace\MarioGalaxy\2075968186366169082.png
ObjectData\AquariumPlanetA\tex1_128x128_a2fcc7d80886c56a_1.png,ondemand_texture_replace\MarioGalaxy\123828199035405911.png
ObjectData\AquariumPlanetA\tex1_128x128_b4a1e04ae3050bc9_14.png,ondemand_texture_replace\MarioGalaxy\10391565863285581207.png
ObjectData\AquariumPlanetA\tex1_256x256_725d47f1af3ee778_14.png,ondemand_texture_replace\MarioGalaxy\13608261522156587324.png
ObjectData\AquariumPlanetA\tex1_256x256_835b9cdf5d8b37aa_14.png,ondemand_texture_replace\MarioGalaxy\16344656051258919767.png
ObjectData\AquariumPlanetA\tex1_256x256_b75be560ba864ec6_14.png,ondemand_texture_replace\MarioGalaxy\7637445890640981861.png
ObjectData\AquariumPlanetA\tex1_256x256_f228ba993907ec0f_14.png,ondemand_texture_replace\MarioGalaxy\16532335223268479183.png
ObjectData\AquariumPlanetA\tex1_256x256_m_123c307fab917b99_1_arb.png,MarioGalaxy\de3fd1f559ff0e67.png
ObjectData\AquariumPlanetA\tex1_256x256_m_123c307fab917b99_1_arb_mip1.png,MarioGalaxy\de3fd1f559ff0e67_lod1.png
ObjectData\AquariumPlanetA\tex1_256x256_m_123c307fab917b99_1_arb_mip2.png,MarioGalaxy\de3fd1f559ff0e67_lod2.png
ObjectData\AquariumPlanetA\tex1_256x256_m_123c307fab917b99_1_arb_mip3.png,MarioGalaxy\de3fd1f559ff0e67_lod3.png
ObjectData\AquariumPlanetA\tex1_256x256_m_123c307fab917b99_1_arb_mip4.png,MarioGalaxy\de3fd1f559ff0e67_lod4.png
ObjectData\AquariumPlanetA\tex1_256x256_m_123c307fab917b99_1_arb_mip5.png,MarioGalaxy\de3fd1f559ff0e67_lod5.png
ObjectData\AquariumPlanetA\tex1_32x32_325ccdcc9072c2e5_4.png,ondemand_texture_replace\MarioGalaxy\1553230871310523794.png
ObjectData\AquariumPlanetB\tex1_256x256_46b0574f0541b3da_14.png,ondemand_texture_replace\MarioGalaxy\2361402864791374097.png
ObjectData\AquariumPlanetB\tex1_256x256_f98ef631ab85703f_14.png,ondemand_texture_replace\MarioGalaxy\10217460367955649800.png
ObjectData\AquariumPlanetB\tex1_32x64_c521fbeec3290182_0.png,ondemand_texture_replace\MarioGalaxy\8805497561156046981.png
ObjectData\ArrowBoard\tex1_128x128_1abb9adecc9cc234_14.png,ondemand_texture_replace\MarioGalaxy\5659670978749445873.png
ObjectData\ArrowSwitch\tex1_128x128_72c0c5f2df261c3e_14.png,ondemand_texture_replace\MarioGalaxy\2643542846684840706.png
ObjectData\ArrowSwitch\tex1_128x256_cdbefaae37405982_14.png,ondemand_texture_replace\MarioGalaxy\5973206074529347387.png
ObjectData\AsteroidB\tex1_256x256_1c62e154800557b2_14.png,ondemand_texture_replace\MarioGalaxy\17882659970174758702.png
ObjectData\AsteroidBlockPlanet\1423345565065656474.png,ondemand_texture_replace\MarioGalaxy\1423345565065656474.png
ObjectData\AsteroidBlockPlanet\tex1_128x128_82e8b6411ce39b5a_14.png,ondemand_texture_replace\MarioGalaxy\3215174091618562924.png
ObjectData\AsteroidBlockPlanet\tex1_128x128_m_acd787da96b6f451_1.png,MarioGalaxy\fa936266abad53b2.png
ObjectData\AsteroidBlockPlanet\tex1_128x128_m_acd787da96b6f451_1_mip1.png,MarioGalaxy\fa936266abad53b2_lod1.png
ObjectData\AsteroidBlockPlanet\tex1_128x128_m_acd787da96b6f451_1_mip2.png,MarioGalaxy\fa936266abad53b2_lod2.png
ObjectData\AsteroidBlockPlanet\tex1_128x128_m_acd787da96b6f451_1_mip3.png,MarioGalaxy\fa936266abad53b2_lod3.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0.png,MarioGalaxy_Sub\38807cb5abf8fbb7.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0_mip1.png,MarioGalaxy_Sub\38807cb5abf8fbb7_lod1.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0_mip2.png,MarioGalaxy_Sub\38807cb5abf8fbb7_lod2.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_717c17a04a35a691_0_mip3.png,MarioGalaxy_Sub\38807cb5abf8fbb7_lod3.png
ObjectData\AsteroidBlockPlanet\tex1_256x256_m_8b7ada8e7eedf7b1_14.png,ondemand_texture_replace\MarioGalaxy\12886053198367724926.png
ObjectData\AstroChildRoom\tex1_128x128_9543f5afc91b300e_14.png,ondemand_texture_replace\MarioGalaxy\9624655365083320337.png
ObjectData\AstroChildRoom\tex1_256x128_m_1f2ab852a8c32ab3_14.png,MarioGalaxy_Sub\59f3b4c6e09c6623.png
ObjectData\AstroChildRoom\tex1_256x128_m_1f2ab852a8c32ab3_14_mip1.png,MarioGalaxy_Sub\59f3b4c6e09c6623_lod1.png
ObjectData\AstroChildRoom\tex1_256x128_m_1f2ab852a8c32ab3_14_mip2.png,MarioGalaxy_Sub\59f3b4c6e09c6623_lod2.png
ObjectData\AstroChildRoom\tex1_256x128_m_1f2ab852a8c32ab3_14_mip3.png,MarioGalaxy_Sub\59f3b4c6e09c6623_lod3.png
ObjectData\AstroChildRoom\tex1_256x256_91138c07275a9033_14.png,MarioGalaxy_Sub\81d06b50f85758b3.png
ObjectData\AstroChildRoom\tex1_64x64_6c5cd7070d93399d_14.png,MarioGalaxy_Sub\459beb017a0a7fe0.png
ObjectData\AstroChildRoom\tex1_64x64_c38120b18db8d90d_14.png,ondemand_texture_replace\MarioGalaxy\16860756531061300777.png
ObjectData\AstroChildRoom\tex1_64x64_eaee6deb593fe8fc_14.png,MarioGalaxy_Sub\333c22ec3c445574.png
ObjectData\AstroChildRoom\tex1_64x64_fc82de511983f382_14.png,MarioGalaxy_Sub\2df0a712189b8243.png
ObjectData\AstroRoomLibrary\tex1_128x128_048fc6c3609e26cd_14.png,ondemand_texture_replace\MarioGalaxy\15355317486955039699.png
ObjectData\AstroRoomLibrary\tex1_128x128_362253977dc8c6fb_14.png,ondemand_texture_replace\MarioGalaxy\3242720186053114163.png
ObjectData\AstroRoomLibrary\tex1_128x128_4d0008aa0a773ea9_14.png,ondemand_texture_replace\MarioGalaxy\13177166105602262335.png
ObjectData\AstroRoomLibrary\tex1_128x128_65c7601294a7f5c6_14.png,ondemand_texture_replace\MarioGalaxy\6354719890306916365.png
ObjectData\AstroRoomLibrary\tex1_128x128_97fa93aa28d34e2c_14.png,ondemand_texture_replace\MarioGalaxy\13630452880675680904.png
ObjectData\AstroRoomLibrary\tex1_128x128_e154bb1ec3f77e74_14.png,ondemand_texture_replace\MarioGalaxy\11934155516986409798.png
ObjectData\AstroRoomLibrary\tex1_128x128_fcbc3db26f9bcf63_14.png,ondemand_texture_replace\MarioGalaxy\17567320105883962689.png
ObjectData\AstroRoomLibrary\tex1_256x128_235fbcbb7693cc06_14.png,ondemand_texture_replace\MarioGalaxy\7822210988508487958.png
ObjectData\AstroRoomLibrary\tex1_256x128_2921fab89f74aa9a_14.png,ondemand_texture_replace\MarioGalaxy\14090439699534436151.png
ObjectData\AstroRoomLibrary\tex1_256x256_9776bbce4dc11fdd_14.png,ondemand_texture_replace\MarioGalaxy\12493268781626704868.png
ObjectData\AstroRoomLibrary\tex1_256x256_fa65b5810ecaf5b6_14.png,ondemand_texture_replace\MarioGalaxy\841866388216552548.png
ObjectData\AstroRoomLibrary\tex1_32x32_5a2efa5b85a00e62_14.png,ondemand_texture_replace\MarioGalaxy\16933634155508853951.png
ObjectData\AstroRoomLibrary\tex1_32x32_664d0834a36a27be_14.png,ondemand_texture_replace\MarioGalaxy\2576924420753490128.png
ObjectData\AstroRoomLibrary\tex1_32x32_e7064b8de54dc6b7_14.png,ondemand_texture_replace\MarioGalaxy\3289144991125765389.png
ObjectData\AstroRoomLibrary\tex1_64x16_69852a5f44fa070d_14.png,ondemand_texture_replace\MarioGalaxy\13116147605441259865.png
ObjectData\AstroRoomLibrary\tex1_64x64_4d2c1943c0131a71_14.png,ondemand_texture_replace\MarioGalaxy\7156357929737329148.png
ObjectData\AttackRock\tex1_128x128_7d0310a75bdfdba8_14.png,ondemand_texture_replace\MarioGalaxy\15604180207943551285.png
ObjectData\AttackRock\tex1_128x128_d22f18145ef1fd38_0.png,ondemand_texture_replace\MarioGalaxy\14836547886162411147.png
ObjectData\BakuBaku\tex1_64x64_50f5d1f6fc0aa57c_14.png,ondemand_texture_replace\MarioGalaxy\4327854959303508483.png
ObjectData\BakuBaku\tex1_64x64_9a4eb78306991ca1_14.png,ondemand_texture_replace\MarioGalaxy\12190612785838078706.png
ObjectData\BakuBaku\tex1_64x64_dabac30ad54e1a71_14.png,ondemand_texture_replace\MarioGalaxy\1512073181812299206.png
ObjectData\BakubakuCircleConveyor\tex1_32x64_70d66d113791608e_14.png,ondemand_texture_replace\MarioGalaxy\12413637218016886638.png
ObjectData\BakubakuCircleConveyor\tex1_64x64_7955e22b6e2442a0_14.png,ondemand_texture_replace\MarioGalaxy\15326123672472166503.png
ObjectData\BakubakuCircleConveyor\tex1_64x64_952635c44df3651e_14.png,ondemand_texture_replace\MarioGalaxy\13631810590204255262.png
ObjectData\BakuBakuClipStep\tex1_128x128_1a903e8d502fb5e7_14.png,ondemand_texture_replace\MarioGalaxy\17359645589774717345.png
ObjectData\Balloonfish\tex1_128x128_cd12a01dae67eb87_14.png,ondemand_texture_replace\MarioGalaxy\16004516686639782780.png
ObjectData\BalloonFruit\tex1_64x64_a3d4788a5d0bf009_14.png,ondemand_texture_replace\MarioGalaxy\6441699836384837353.png
ObjectData\BallOpenerSlider\tex1_128x128_b8087126edd75d6e_0.png,ondemand_texture_replace\MarioGalaxy\18408368385198638528.png
ObjectData\BallOpenerSlider\tex1_128x64_e15b71f1e7eb67b0_14.png,ondemand_texture_replace\MarioGalaxy\2839948037380802161.png
ObjectData\BallOpenerSlider\tex1_32x32_7bc57495c7a238a3_5.png,ondemand_texture_replace\MarioGalaxy\2855459880440527319.png
ObjectData\BallOpenerTamakoro\tex1_128x128_44e3fdf7bb8b1752_0.png,ondemand_texture_replace\MarioGalaxy\14545964202171323595.png
ObjectData\BallOpenerTamakoro\tex1_128x128_738f2cb7c6601d3f_14.png,ondemand_texture_replace\MarioGalaxy\1956216113657404877.png
ObjectData\BallOpenerTamakoro\tex1_128x128_m_71e8a1a25f38bf3f_14.png,MarioGalaxy\8ac9848404e3d6ac.png
ObjectData\BallOpenerTamakoro\tex1_128x128_m_71e8a1a25f38bf3f_14_mip1.png,MarioGalaxy\8ac9848404e3d6ac_lod1.png
ObjectData\BallOpenerTamakoro\tex1_128x128_m_71e8a1a25f38bf3f_14_mip2.png,MarioGalaxy\8ac9848404e3d6ac_lod2.png
ObjectData\BarrelCloudActionPlanet\tex1_128x128_011e83be05160219_14.png,ondemand_texture_replace\MarioGalaxy\558036549728918158.png
